Outcomes	coefficient	pval	pre_cont_mean	pre_cont_sd	pre_cont_n	post_cont_mean	post_cont_sd	post_cont_n	pre_int_mean	pre_int_sd	pre_int_n	post_int_mean	post_int_sd	post_int_n
Glycine g	0.646655168997689	0.587225268839204	6.26869615384615	1.91601394397996	13	6.03918181818182	2.18085101821201	11	5.85441666666667	2.02044189993538	24	6.2715575	2.91026344793528	20
Proline g	0.291021491841504	0.761834658442043	5.34393846153846	1.58889379209691	13	5.33136363636364	1.65211272452743	11	5.17483333333333	1.66375726351053	24	5.45328	2.34203684577066	20
Serine g	0.437935285547799	0.663499825247464	5.76365384615385	1.55368413489539	13	5.51927272727273	1.77546377551946	11	5.46652083333333	1.77840647698247	24	5.660075	2.45296574136075	20
Aspartame mg	0	NaN	0	0	13	0	0	11	0	0	24	0	0	20
Saccharin mg	0	NaN	0	0	13	0	0	11	0	0	24	0	0	20
Caffeine mg	-66.8036078088583	0.0345694918377109	46.6333846153846	72.2956551455416	13	68.9539090909091	78.3817901817183	11	44.4830833333333	69.7416256614785	24	0	0	20
Phytic Acid mg	-193.787138298366	0.253233466404636	566.385892307693	316.067786007028	13	706.913927272728	392.423271522507	11	590.969633333333	330.207557995475	24	537.71053	300.987585307919	20
Oxalic Acid mg	-22.7008554195801	0.0869986551413492	40.8446923076923	16.4201516151375	13	58.2983727272727	35.9128988285224	11	51.594625	24.8815978111509	24	46.34745	24.8125782819394	20
3-Methylhistidine mg	11.8103778554779	0.481675514683434	67.5775384615385	26.9960121364106	13	60.4877272727273	28.3516612849791	11	68.9943333333333	30.922715491404	24	73.7149	39.6712641008312	20
Sucrose Polyester g	0	NaN	0	0	13	0	0	11	0	0	24	0	0	20
Ash g	3.71936686480185	0.387521114578046	19.1683230769231	7.01574485403532	13	18.6474545454545	6.47111054400458	11	18.5505916666667	6.785204455086	24	21.74909	11.329288243073	20
Water g	167.376942121217	0.72990939321596	2233.843	711.580937453709	13	2767.67745454545	866.325137068452	11	2314.36583333333	671.120854392221	24	3015.57723	1328.25690853101	20
